Test Case,Metric,Mean,Std Dev
80,accuracy,0.9378,0.1101
87,precision,1.0000,0.0000
87,recall,0.8148,0.1656
87,f1,0.8889,0.0994
87,accuracy,0.8148,0.1656
68,precision,0.8730,0.1381
68,recall,0.6923,0.2212
68,f1,0.7598,0.1862
68,accuracy,0.6429,0.2054
86,precision,0.9219,0.0668
86,recall,0.7644,0.1338
86,f1,0.8236,0.0755
86,accuracy,0.7064,0.0995
90,precision,0.8698,0.0407
90,recall,0.9963,0.0246
90,f1,0.9279,0.0194
90,accuracy,0.8661,0.0359
55,precision,0.2002,0.0536
55,recall,0.9489,0.2104
55,f1,0.3294,0.0820
55,accuracy,0.1998,0.0533
33,precision,0.6188,0.0964
33,recall,0.7455,0.0988
33,f1,0.6735,0.0893
33,accuracy,0.5142,0.0965
88,precision,1.0000,0.0000
88,recall,0.6667,0.0000
88,f1,0.8000,0.0000
88,accuracy,0.6667,0.0000
95,precision,0.6746,0.0726
95,recall,0.8333,0.0000
95,f1,0.7436,0.0421
95,accuracy,0.5937,0.0555
83,precision,0.0000,0.0000
83,recall,0.0000,0.0000
83,f1,0.0000,0.0000
83,accuracy,0.0000,0.0000
78,precision,0.6857,0.0328
78,recall,0.8835,0.1395
78,f1,0.7670,0.0652
78,accuracy,0.6264,0.0827
62,precision,0.9088,0.0439
62,recall,0.9773,0.0500
62,f1,0.9404,0.0299
62,accuracy,0.8890,0.0526
91,precision,1.0000,0.0000
91,recall,0.9733,0.0680
91,f1,0.9852,0.0378
91,accuracy,0.9733,0.0680
96,precision,1.0000,0.0000
96,recall,1.0000,0.0000
96,f1,1.0000,0.0000
96,accuracy,1.0000,0.0000
92,precision,1.0000,0.0000
92,recall,0.9111,0.1802
92,f1,0.9411,0.1325
92,accuracy,0.9111,0.1802
89,precision,0.9545,0.2083
89,recall,0.9508,0.2090
89,f1,0.9525,0.2083
89,accuracy,0.9508,0.2090
93,precision,0.7492,0.0053
93,recall,0.6642,0.0164
93,f1,0.7041,0.0119
93,accuracy,0.5434,0.0134
94,precision,0.5689,0.0859
