metric,n_runs,k_models,rm_anova_F,rm_anova_df1,rm_anova_df2,rm_anova_p,rm_anova_partial_eta2,friedman_chi2,friedman_p,kendalls_W
accuracy,5,9,81.85674459784637,8.0,32.0,4.173326461264032e-19,0.9534107655870715,34.71118530884809,3.0179002789639122e-05,0.8677796327212022
precision,5,9,83.36622391957107,8.0,32.0,3.165246769073181e-19,0.954215716090896,37.120000000000005,1.0938480107700365e-05,0.9280000000000002
recall,5,9,139.95898232763912,8.0,32.0,1.129642866586054e-22,0.9722143076081469,37.76000000000002,8.337041761492385e-06,0.9440000000000005
f1Score,5,9,79.54394366757515,8.0,32.0,6.435449769068025e-19,0.9521210057318318,38.45333333333335,6.206741330810935e-06,0.9613333333333337
